Abbreviation,AbsoluteBoilingPoint,AbsoluteMeltingPoint,AtomicNumber,AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,ElectronAffinity,FusionHeat,Group,MeltingPoint,MolarVolume,NeutronCrossSection,Period,SpaceGroupNumber,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat
H,20.28,14.01,1,1.00794,-252.87,41,2.2,31,0.0015,0.0899,72.8,0.558,1,-259.14,1.19,0.332,1,194,14300,0.1805,1,0.452
Li,1615,453.69,3,6.941,1342,11,0.98,128,0.000017,535,59.6,3,1,180.54,21.5,71,2,229,3570,85,1,147
Be,2743,1560,4,9.012182,2470,130,1.57,96,1.90E-06,1848,0,7.95,2,1287,8.09,0.0092,2,194,1820,190,2,297
B,4273,2348,5,10.811,4000,320,2.04,85,8.60E-06,2460,26.7,50,13,2075,7.3,7.60E+02,2,166,1030,27,3,507
C,4300,3823,6,12.0107,4027,33,2.55,76,0.0018,2260,153.9,105,14,3550,8.83,0.0035,2,194,710,140,4,715
N,77.36,63.05,7,14.0067,-195.79,41,3.04,71,0.00002,1.251,7,0.36,15,-210.1,1.4,1.91,2,194,1040,0.02583,3,2.79
O,90.2,54.8,8,15.9994,-182.9,41,3.44,66,0.46,1.429,141,0.222,16,-218.3,0.89,0.00028,2,12,919,0.02658,2,3.41
F,85.03,53.5,9,18.9984032,-188.12,41,3.98,57,0.00054,1.696,328,0.26,17,-219.6,0.59,0.0096,2,15,824,0.0277,1,3.27
Na,1156,370.87,11,22.98976928,883,6.3,0.93,166,0.023,968,52.8,2.6,1,97.72,39.5,0.53,3,229,1230,140,1,97.7
Al,2792,933.47,13,26.9815386,2519,76,1.61,121,0.081,2.70E+03,42.5,10.7,13,660.32,16.6,0.233,3,225,904,235,3,293
Si,3173,1687,14,28.0855,2.90E+03,100,1.9,111,0.27,2330,133.6,50.2,14,1414,20,0.166,3,227,710,150,4,359
P,553.6,317.3,15,30.973762,280.5,11,2.19,107,0.00099,1823,71,0.64,15,44.2,28.2,0.18,3,2,769.7,0.236,5,12.4
S,717.87,388.36,16,32.065,444.72,7.7,2.58,105,0.00042,1960,2.00E+02,1.73,16,115.21,27.2,0.52,3,70,705,0.205,6,9.8
Cl,239.11,171.6,17,35.453,-34.04,1.1,3.16,102,0.00017,3.214,349,3.2,17,-101.5,3.94,35.3,3,64,478.2,0.0089,5,10.2
K,1032,336.53,19,39.0983,759,3.1,0.82,203,0.015,856,48.4,2.33,1,63.38,75.9,2.1,4,229,757,1.00E+02,1,76.9
Ca,1757,1115,20,40.078,1484,17,1,176,0.05,1550,2.37,8.54,2,842,43,0.43,4,225,631,2.00E+02,2,155
Sc,3103,1814,21,44.955912,2830,57,1.36,170,0.000026,2985,18.1,16,3,1541,25,27.2,4,194,567,16,3,318
Ti,3560,1941,22,47.867,3287,110,1.54,160,0.0066,4507,7.6,18.7,4,1668,17.6,6.1,4,194,520,22,4,425
V,3680,2183,23,50.9415,3407,160,1.63,153,0.00019,6110,50.6,22.8,5,1910,13.8,5.06,4,229,489,31,5,453
Cr,2944,2180,24,51.9961,2671,160,1.66,139,0.00014,7190,64.3,20.5,6,1907,12.1,3.1,4,229,448,94,6,339
Mn,2334,1519,25,54.938045,2061,120,1.55,139,0.0011,7470,0,13.2,7,1246,12.2,13.3,4,217,479,7.7,4,220
Fe,3134,1811,26,55.845,2861,170,1.83,132,0.063,7874,15.7,13.8,8,1538,11.8,2.56,4,229,449,79,3,347
Co,3.20E+03,1768,27,58.933195,2927,180,1.88,126,0.00003,8.90E+03,63.7,16.2,9,1495,11,37.2,4,194,421,1.00E+02,4,375
Ni,3186,1728,28,58.6934,2913,180,1.91,124,0.00009,8908,112,17.2,10,1455,10.9,4.5,4,225,445,91,2,378
Cu,2835,1357.77,29,63.546,2562,140,1.9,132,0.000068,8960,118.4,13.1,11,1084.62,11.8,3.78,4,225,384.4,4.00E+02,2,3.00E+02
Zn,1180,692.68,30,65.38,907,70,1.65,122,0.000078,7140,0,7.35,12,419.53,15.2,1.1,4,194,388,120,2,119
Ga,2477,302.91,31,69.723,2204,41,1.81,122,0.000019,5904,28.9,5.59,13,29.76,19.6,2.9,4,64,371,29,3,256
Ge,3093,1211.4,32,72.63,2820,75,2.01,120,1.40E-06,5323,119,31.8,14,938.3,22.7,2.2,4,225,321.4,60,4,334
As,887,1090,33,74.9216,614,22,2.18,119,2.10E-06,5727,78,27.7,15,817,21.7,4.2,4,166,328,50,5,32.4
Se,958,494,34,78.96,685,8.3,2.55,120,5.00E-08,4819,195,5.4,16,221,27.2,11.7,4,14,321.2,0.52,6,26
Br,332,265.8,35,79.904,59,1.9,2.96,120,3.00E-06,3120,324.6,5.8,17,-7.3,42.5,6.8,4,64,947.3,0.12,5,14.8
Rb,961,312.46,37,85.4678,688,2.5,0.82,220,0.00006,1532,46.9,2.19,1,39.31,92.7,0.38,5,229,364,58,1,71
Sr,1655,1050,38,87.62,1382,41,0.95,195,0.00036,2630,5.03,8,2,777,55.3,1.2,5,225,300,35,2,137
Y,3618,1799,39,88.90585,3345,41,1.22,190,0.000029,4472,29.6,11.4,3,1526,33,1.28,5,194,298,17,3,380
Zr,4682,2128,40,91.224,4409,91.1,1.33,175,0.00013,6511,41.1,21,4,1855,23.3,0.184,5,194,278,23,4,580
Nb,5017,2750,41,92.90638,4744,170,1.6,164,0.000017,8570,86.1,26.8,5,2477,18,1.15,5,229,265,54,5,690
Mo,4912,2896,42,95.96,4639,230,2.16,154,1.10E-06,10280,71.9,36,6,2623,15.5,2.6,5,229,251,139,6,6.00E+02
Tc,4538,2430,43,98,4265,41,1.9,147,0,1.15E+04,53,23,7,2157,14.2,22,5,194,63,51,6,550
Ru,4423,2607,44,101.07,4150,220,2.2,146,1.00E-09,12370,101.3,25.7,8,2334,13.6,2.6,5,194,238,120,6,580
Rh,3968,2237,45,102.9055,3695,380,2.28,142,7.00E-10,12450,109.7,21.7,9,1964,13.7,145,5,225,240,150,6,495
Pd,3236,1828.05,46,106.42,2963,180,2.2,139,6.30E-09,12023,53.7,16.7,10,1554.9,14.7,6.9,5,225,240,71,4,380
Ag,2435,1234.93,47,107.8682,2162,100,1.93,145,7.90E-08,10490,125.6,11.3,11,961.78,17.1,63.6,5,225,235,430,1,255
Cd,1040,594.22,48,112.411,767,42,1.69,144,1.50E-07,8650,0,6.3,12,321.07,21.6,2450,5,194,230,96,2,1.00E+02
In,2345,429.75,49,114.818,2072,41,1.78,142,1.60E-07,7310,28.9,3.26,13,156.6,26.1,194,5,139,233,82,3,230
Sn,2875,505.08,50,118.71,2602,58,1.96,139,2.20E-06,7310,107.3,7,14,231.93,27,0.62,5,141,217,67,4,290
Sb,1860,903.78,51,121.76,1587,42,2.05,139,2.00E-07,6697,103.2,19.7,15,630.63,30.2,5.4,5,166,207,24,5,67
Te,1261,722.66,52,127.6,988,65,2.1,138,1.00E-09,6240,190.2,17.5,16,449.51,34,5.4,5,152,201,3,6,48
I,457.4,386.85,53,126.90447,184.3,7.7,2.66,139,4.90E-07,4940,295.2,7.76,17,113.7,42.7,6.3,5,64,429,0.449,7,20.9
Cs,944,301.59,55,132.9054519,671,1.6,0.79,244,1.90E-06,1879,45.5,2.09,1,28.44,117,29,6,229,242,36,1,64
Ba,2143,1.00E+03,56,137.327,1870,9.6,0.89,215,0.00034,3510,13.95,8,2,727,65,1.3,6,229,205,18,2,140
La,3737,1193,57,138.90547,3464,28,1.1,207,0.000034,6146,48,6.3,3,919,37.5,8.98,6,194,195,13,3,4.00E+02
Ce,3633,1071,58,140.116,3360,22,1.12,204,0.00006,6689,50,5.5,3,798,34.8,0.6,6,194,192,11,4,350
Pr,3563,1204,59,140.90765,3290,29,1.13,203,8.60E-06,6640,50,6.9,3,931,35.3,11.4,6,194,193,13,4,330
Nd,3373,1294,60,144.242,3.10E+03,32,1.14,201,0.000033,7010,50,7.1,3,1021,34.2,49,6,194,190,17,3,285
Sm,2076,1345,62,150.36,1803,38,1.17,198,6.00E-06,7353,50,8.5,3,1072,34,5.90E+03,6,166,196,13,3,175
Eu,1.80E+03,1095,63,151.964,1527,8.3,1.2,198,1.80E-06,5244,50,9.3,3,822,48.1,4.57E+03,6,229,182,14,3,175
Gd,3523,1586,64,157.25,3250,38,1.2,196,5.20E-06,7901,50,10,3,1313,33.1,4.90E+04,6,194,240,11,3,305
Tb,3503,1629,65,158.92535,3230,38.7,1.2,194,9.30E-07,8219,50,10.8,3,1356,32.1,23,6,194,182,11,3,295
Dy,2840,1685,66,162.5,2567,41,1.22,192,6.20E-06,8551,50,11.1,3,1412,31.6,9.50E+02,6,194,167,11,3,280
Ho,2973,1747,67,164.93032,2700,40,1.23,192,1.20E-06,8795,50,17,3,1474,31.2,64,6,194,165,16,3,265
Er,3141,1770,68,167.259,2868,44,1.24,189,3.00E-06,9066,50,19.9,3,1497,30.6,165,6,194,168,15,3,285
Tm,2223,1818,69,168.93421,1950,45,1.25,190,4.50E-07,9320,50,16.8,3,1545,30.1,105,6,194,160,17,3,250
Yb,1469,1092,70,173.054,1196,31,1.1,187,2.80E-06,6570,50,7.7,3,819,43.8,35,6,225,154,39,3,160
Lu,3675,1936,71,174.9668,3402,48,1.27,187,5.70E-07,9841,50,22,3,1663,29.5,85,6,194,154,16,3,415
Hf,4876,2506,72,178.49,4603,110,1.3,175,3.30E-06,13310,0,25.5,4,2233,22.3,104,6,194,144,23,4,630
Ta,5731,3290,73,180.94788,5458,200,1.5,170,1.70E-06,16650,31,36,5,3017,18.1,20.5,6,229,140,57,5,736
W,5828,3695,74,183.84,5555,310,2.36,162,1.10E-06,19250,78.6,35,6,3422,15.9,18.4,6,229,132,170,6,8.00E+02
Re,5869,3459,75,186.207,5596,370,1.9,151,2.60E-09,21020,14.5,33,7,3186,14.7,90,6,194,137,48,7,705
Os,5285,3306,76,190.23,5012,462,2.2,144,1.80E-09,2.26E+04,106.1,31,8,3033,14,15,6,194,130,87,6,630
Ir,4701,2739,77,192.217,4428,320,2.2,141,4.00E-10,2.26E+04,151,26,9,2466,14.2,425,6,225,131,150,6,560
Pt,4098,2041.4,78,195.084,3825,230,2.28,136,3.70E-08,21450,205.3,20,10,1768.3,15.4,10,6,225,133,71,6,490
Au,3129,1337.33,79,196.966569,2856,220,2.54,136,3.10E-09,1.93E+04,222.8,12.5,11,1064.18,17,98.7,6,225,129.1,320,5,330
Hg,629.88,234.32,80,200.59,356.73,25,2,132,6.70E-08,13534,0,2.29,12,-38.83,24.6,374,6,166,139.5,8.3,2,59.2
Tl,1746,577,81,204.3833,1473,43,1.62,145,5.40E-07,11850,19.2,4.2,13,304,28.7,3.4,6,194,129,46,3,165
Pb,2022,600.61,82,207.2,1749,46,2.33,146,1.00E-05,11340,35.1,4.77,14,327.46,30.4,0.171,6,225,127,35,4,178
Bi,1837,544.4,83,208.9804,1564,31,2.02,148,2.50E-08,9780,91.2,10.9,15,271.3,35.5,0.034,6,12,122,8,5,160